file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,839.99,,2,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,1432.47,,2,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,1425.10,,2,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,1442.15,,2,Prior1YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,1493.19,,2,CurrentYearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,25,,0,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,30,,0,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,30,,0,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,30,,0,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:dividendpaidpersharesummaryofbusinessresults,30,,0,CurrentYearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,104.65,,2,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,172.68,,2,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,172.19,,2,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,88.34,,2,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,78.49,,2,CurrentYearDuration_NonConsolidatedMember
